,電力消費量,日平均入力比,日最大入力比,日最小入力比,日空調時間数,日全負荷運転時間数,日平均設定温度,日最大設定温度,日最小設定温度,日平均室内温度,日最大室内温度,日最小室内温度,年,月,日,曜日,曜日_月,曜日_火,曜日_水,曜日_木,曜日_金,曜日_土,曜日_日,降水量(mm),日照時間(時間),日射量(MJ/㎡),風速(m/s),相対湿度(％),平均外気温度,最高外気温度,最低外気温度
2021-06-01,1.0,0.007916666666666667,0.19,0.0,1,0,25.0,26.0,24.0,27.020833333333325,27.6,26.3,2021,6,1,1,0,1,0,0,0,0,0,5.0,9.0,25.870000000000005,1.1500000000000001,74.91666666666667,21.254166666666666,25.4,16.6
2021-06-02,1.0,0.007916666666666667,0.19,0.0,1,0,25.0,26.0,24.0,27.114583333333343,27.5,25.3,2021,6,2,2,0,0,1,0,0,0,0,0.0,2.5,15.240000000000002,1.1083333333333332,70.41666666666667,22.97083333333333,27.1,20.3
2021-06-03,1.0,0.007916666666666667,0.19,0.0,1,0,25.0,26.0,24.0,27.249999999999996,27.7,25.7,2021,6,3,3,0,0,0,1,0,0,0,0.5,6.3999999999999995,23.230000000000004,0.9791666666666665,71.79166666666667,22.925000000000008,26.0,20.2
2021-06-04,1.0,0.007916666666666667,0.19,0.0,1,0,25.0,26.0,24.0,27.066666666666663,27.4,26.4,2021,6,4,4,0,0,0,0,1,0,0,15.5,0.0,2.7499999999999996,1.8875000000000002,96.75,21.475000000000005,24.1,20.0
2021-06-05,1.0,0.007916666666666667,0.19,0.0,1,0,25.0,26.0,24.0,27.037499999999998,27.3,26.7,2021,6,5,5,0,0,0,0,0,1,0,0.0,1.0,18.39,0.5208333333333334,78.29166666666667,22.733333333333334,25.1,20.9
2021-06-06,2.0,0.015833333333333335,0.19,0.0,2,0,25.0,26.0,24.0,27.045833333333334,27.3,26.8,2021,6,6,6,0,0,0,0,0,0,1,0.5,0.6,9.1,0.5708333333333333,82.375,22.725000000000005,24.7,21.5
2021-06-07,3.0,0.023750000000000004,0.38,0.0,2,0,25.0,26.0,24.0,27.11666666666667,28.2,26.2,2021,6,7,0,1,0,0,0,0,0,0,0.0,4.4,15.889999999999999,0.7708333333333331,71.75,24.599999999999994,28.9,21.3
2021-06-08,9.0,0.07125,0.38,0.0,7,0,25.0,26.0,24.0,26.883333333333336,28.2,22.8,2021,6,8,1,0,1,0,0,0,0,0,0.5,8.8,22.349999999999998,1.0291666666666668,64.70833333333333,26.587499999999995,33.2,21.6
2021-06-09,2.0,0.015833333333333335,0.19,0.0,2,0,25.0,26.0,24.0,27.535416666666666,28.7,26.2,2021,6,9,2,0,0,1,0,0,0,0,0.0,13.6,28.67,1.2000000000000002,55.583333333333336,26.400000000000002,31.7,21.1
2021-06-10,7.0,0.05541666666666667,0.38,0.0,5,0,25.0,26.0,24.0,27.64375,28.8,26.1,2021,6,10,3,0,0,0,1,0,0,0,0.0,13.799999999999999,28.590000000000003,0.8875000000000001,63.416666666666664,25.987499999999997,30.0,21.5
2021-06-11,7.0,0.05541666666666667,0.38,0.0,5,0,25.0,26.0,24.0,27.42916666666667,28.6,23.0,2021,6,11,4,0,0,0,0,1,0,0,0.0,9.9,24.169999999999998,1.1375,68.375,25.087500000000006,30.4,21.9
2021-06-12,1.0,0.007916666666666667,0.19,0.0,1,0,25.0,26.0,24.0,28.475000000000005,29.5,27.7,2021,6,12,5,0,0,0,0,0,1,0,0.0,7.1000000000000005,18.76,1.3458333333333332,72.91666666666667,24.633333333333336,28.8,21.4
2021-06-13,1.0,0.007916666666666667,0.19,0.0,1,0,25.0,26.0,24.0,29.060416666666672,29.3,28.7,2021,6,13,6,0,0,0,0,0,0,1,0.0,2.3,15.800000000000002,0.8083333333333336,68.41666666666667,25.629166666666666,29.6,22.7
2021-06-14,3.0,0.023750000000000004,0.19,0.0,3,0,25.0,26.0,24.0,28.331250000000008,29.2,26.0,2021,6,14,0,1,0,0,0,0,0,0,5.0,0.0,9.24,0.49166666666666653,90.91666666666667,22.858333333333334,25.1,21.5
2021-06-15,8.0,0.06333333333333334,0.38,0.0,5,0,25.0,26.0,24.0,27.491666666666674,28.3,24.5,2021,6,15,1,0,1,0,0,0,0,0,3.5,5.1,21.64,0.8875000000000001,80.45833333333333,25.250000000000004,29.8,21.4
2021-06-16,1.0,0.007916666666666667,0.19,0.0,1,0,25.0,26.0,24.0,27.69791666666666,28.4,26.7,2021,6,16,2,0,0,1,0,0,0,0,55.0,0.0,8.11,0.9458333333333333,87.70833333333333,22.779166666666672,25.7,20.7
2021-06-17,4.0,0.03166666666666667,0.19,0.0,4,0,24.9375,26.0,23.0,27.11666666666667,27.9,24.7,2021,6,17,3,0,0,0,1,0,0,0,1.5,4.1,16.110000000000003,1.820833333333333,77.66666666666667,22.287499999999998,25.2,19.7
2021-06-18,5.0,0.03958333333333333,0.38,0.0,4,0,24.854166666666668,26.0,24.0,26.43541666666667,27.4,19.5,2021,6,18,4,0,0,0,0,1,0,0,0.0,7.999999999999999,23.15,0.9583333333333331,69.20833333333333,24.091666666666665,27.3,19.6
2021-06-19,1.0,0.007916666666666667,0.19,0.0,1,0,24.5,25.0,24.0,27.120833333333337,27.5,26.5,2021,6,19,5,0,0,0,0,0,1,0,8.0,0.0,4.89,0.9041666666666667,94.45833333333333,20.9375,22.8,20.1
2021-06-20,2.0,0.015833333333333335,0.19,0.0,2,0,24.5,25.0,24.0,27.285416666666666,27.6,26.9,2021,6,20,6,0,0,0,0,0,0,1,10.0,1.9,12.540000000000001,1.879166666666667,86.54166666666667,23.650000000000006,27.7,19.8
2021-06-21,9.0,0.07125,0.38,0.0,5,0,24.5,25.0,24.0,26.829166666666662,27.5,25.1,2021,6,21,0,1,0,0,0,0,0,0,0.0,6.199999999999999,20.47,1.1208333333333333,72.75,23.904166666666665,27.6,20.8
2021-06-22,5.0,0.03958333333333333,0.38,0.0,4,0,24.5,25.0,24.0,26.793750000000003,27.6,24.9,2021,6,22,1,0,1,0,0,0,0,0,0.0,1.2999999999999998,18.2,0.5875,76.58333333333333,24.274999999999995,28.5,21.6
2021-06-23,1.0,0.007916666666666667,0.19,0.0,1,0,24.8125,26.0,24.0,27.062499999999996,27.7,26.3,2021,6,23,2,0,0,1,0,0,0,0,26.0,0.5,7.45,0.8500000000000001,81.29166666666667,23.245833333333334,26.0,21.4
2021-06-24,5.0,0.03958333333333333,0.38,0.0,4,0,25.0,26.0,24.0,26.68958333333333,27.6,23.3,2021,6,24,3,0,0,0,1,0,0,0,20.5,2.5,15.750000000000002,0.9291666666666667,78.0,23.262500000000003,26.1,20.6
2021-06-25,4.0,0.03166666666666667,0.38,0.0,3,0,25.0,26.0,24.0,26.649999999999995,27.4,24.7,2021,6,25,4,0,0,0,0,1,0,0,4.5,1.0,15.28,0.7999999999999999,79.25,23.98333333333333,26.9,21.2
2021-06-26,1.0,0.007916666666666667,0.19,0.0,1,0,25.0,26.0,24.0,27.27083333333334,28.0,26.5,2021,6,26,5,0,0,0,0,0,1,0,0.0,3.8,16.060000000000002,0.4958333333333333,73.83333333333333,25.870833333333334,29.0,22.7
2021-06-27,1.0,0.007916666666666667,0.19,0.0,1,0,25.0,26.0,24.0,27.837499999999995,28.1,27.3,2021,6,27,6,0,0,0,0,0,0,1,0.0,0.4,9.809999999999999,0.8249999999999998,78.5,24.891666666666666,27.1,23.0
2021-06-28,9.0,0.07125,0.38,0.0,6,0,25.0,26.0,24.0,27.227083333333336,28.4,23.0,2021,6,28,0,1,0,0,0,0,0,0,0.0,7.499999999999999,20.740000000000006,1.1125000000000003,72.16666666666667,25.708333333333332,28.9,21.9
2021-06-29,5.0,0.03958333333333333,0.19,0.0,5,0,25.166666666666668,28.0,24.0,27.045833333333334,28.0,24.0,2021,6,29,1,0,1,0,0,0,0,0,37.0,1.5,11.96,1.9999999999999998,89.33333333333333,22.850000000000005,27.9,19.5
2021-06-30,3.0,0.023750000000000004,0.19,0.0,3,0,25.0,26.0,24.0,27.089583333333334,27.7,25.3,2021,6,30,2,0,0,1,0,0,0,0,1.5,0.0,4.629999999999999,0.47500000000000003,91.29166666666667,21.512500000000003,23.6,19.3
2021-07-01,6.0,0.047499999999999994,0.19,0.0,6,0,25.0,26.0,24.0,26.441666666666666,27.3,24.2,2021,7,1,3,0,0,0,1,0,0,0,51.5,0.0,3.6899999999999995,0.47500000000000003,97.5,21.92083333333333,23.7,20.6
2021-07-02,3.0,0.023750000000000004,0.19,0.0,3,0,25.0,26.0,24.0,26.056249999999995,26.5,24.6,2021,7,2,4,0,0,0,0,1,0,0,55.0,0.0,2.1899999999999995,0.5541666666666667,100.0,21.745833333333326,22.5,21.0
2021-07-03,1.0,0.007916666666666667,0.19,0.0,1,0,25.0,26.0,24.0,26.243750000000006,26.8,25.8,2021,7,3,5,0,0,0,0,0,1,0,37.5,0.0,10.18,1.0416666666666667,92.66666666666667,22.71666666666667,25.8,21.2
