,éûçèï 
2,inf
3,inf
4,inf
6,inf
7,inf
9,inf
14,inf
16,inf
18,inf
21,inf
24,inf
26,inf
28,inf
36,inf
41,inf
44,inf
49,inf
59,inf
66,inf
71,inf
72,inf
73,inf
75,inf
84,inf
85,inf
89,inf
90,inf
93,inf
95,inf
100,inf
105,inf
107,inf
110,inf
116,inf
119,inf
121,inf
122,inf
123,inf
136,inf
141,inf
143,inf
144,inf
146,inf
153,inf
156,inf
158,inf
162,inf
165,inf
167,inf
173,inf
175,55.18
181,inf
183,inf
185,inf
191,inf
198,inf
199,inf
202,inf
207,inf
210,inf
214,inf
215,inf
216,inf
221,inf
224,inf
226,inf
231,inf
232,inf
234,inf
240,inf
241,inf
242,inf
252,inf
257,inf
259,inf
264,inf
269,inf
274,inf
276,inf
283,inf
287,inf
288,inf
293,inf
304,inf
306,inf
308,inf
309,inf
311,inf
318,inf
320,inf
323,50.09
327,47.44
331,inf
333,inf
336,inf
338,inf
340,inf
341,inf
343,inf
344,inf
348,inf
349,inf
350,inf
351,inf
354,inf
358,inf
363,inf
366,inf
368,inf
373,94.04
374,inf
380,inf
381,inf
386,inf
395,inf
398,inf
403,inf
411,inf
414,inf
426,inf
427,inf
428,inf
430,inf
434,inf
436,inf
438,inf
439,inf
440,inf
442,inf
444,inf
446,49.0
450,inf
451,inf
452,inf
455,inf
456,inf
461,inf
463,inf
477,inf
480,inf
481,inf
482,inf
489,inf
490,inf
492,inf
494,inf
497,74.6
500,inf
501,inf
503,inf
504,inf
507,inf
511,inf
517,73.03
521,inf
526,inf
527,inf
533,inf
535,inf
539,inf
541,inf
547,inf
548,inf
552,inf
553,inf
557,inf
558,inf
568,inf
570,inf
576,inf
577,inf
581,inf
585,inf
589,inf
591,inf
605,inf
606,inf
608,inf
610,inf
613,inf
614,inf
618,inf
620,inf
626,inf
631,inf
636,inf
653,inf
654,inf
657,inf
659,inf
660,inf
661,28.67
663,4.2
664,78.93
667,inf
669,inf
671,inf
672,inf
674,inf
676,inf
677,inf
680,inf
687,inf
688,inf
691,inf
694,inf
695,inf
696,inf
698,inf
700,inf
701,inf
702,inf
707,inf
710,inf
712,inf
714,inf
717,inf
719,inf
723,inf
725,inf
727,inf
729,inf
730,inf
731,inf
732,inf
735,inf
737,inf
738,inf
739,inf
743,inf
757,inf
759,inf
761,inf
764,inf
766,inf
769,inf
774,inf
775,inf
776,inf
780,inf
782,inf
783,inf
785,inf
786,inf
787,inf
789,inf
791,inf
795,inf
796,inf
799,inf
804,inf
810,inf
813,inf
817,inf
818,inf
826,inf
830,inf
840,inf
842,inf
847,inf
849,inf
851,inf
855,inf
857,inf
858,inf
861,inf
864,inf
867,inf
868,inf
869,inf
872,inf
879,inf
880,inf
881,inf
883,inf
886,inf
890,inf
891,inf
893,inf
894,inf
897,inf
902,inf
903,inf
906,inf
909,inf
911,inf
912,inf
916,inf
917,inf
920,inf
925,inf
927,inf
929,inf
934,inf
935,inf
939,inf
940,inf
948,inf
954,inf
955,inf
964,inf
970,inf
972,inf
973,inf
976,inf
978,inf
987,inf
988,inf
989,inf
993,inf
