“úŽž,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6
2018/4/1,0,1,2,1,1,2,7,22,47,2,4,0,5,2,4,3,0,5,1
2018/4/2,0,1,1,2,2,1,6,24,33,2,11,0,4,51,122,3,0,2,1
2018/4/3,0,1,1,1,1,1,15,8,34,3,15,0,5,55,142,3,0,3,1
2018/4/4,0,1,2,1,1,1,4,8,31,3,17,6,23,57,177,3,1,2,3
2018/4/5,0,1,2,6,1,2,36,10,54,1,12,18,4,45,117,3,0,2,0
2018/4/6,0,2,1,1,2,1,21,3,31,2,15,11,17,53,148,3,0,3,4
2018/4/7,0,1,1,1,1,1,4,3,33,2,3,0,16,36,104,3,0,4,0
2018/4/8,0,1,2,1,1,1,5,3,31,0,4,0,4,29,37,3,0,5,0
2018/4/9,0,1,1,4,1,3,4,13,37,1,8,9,5,42,105,3,0,2,0
2018/4/10,4,1,2,4,1,2,5,6,72,1,3,6,4,43,112,3,0,2,1
2018/4/11,5,1,2,1,1,1,4,20,51,5,9,9,4,47,123,3,0,3,0
2018/4/12,5,2,2,1,2,1,4,9,44,2,16,19,5,56,140,3,1,2,3
2018/4/13,4,1,1,1,1,1,5,14,48,1,9,14,4,45,115,2,0,2,0
2018/4/14,3,1,1,1,1,1,22,20,60,1,4,0,4,30,71,3,0,3,0
2018/4/15,3,1,2,1,1,2,5,15,36,0,3,0,5,2,4,3,0,2,0
2018/4/16,3,1,1,2,1,1,4,16,35,1,4,9,4,43,101,3,0,2,1
2018/4/17,4,1,2,17,2,1,5,17,43,1,4,2,11,37,91,3,0,2,0
2018/4/18,3,2,1,10,1,4,4,6,44,0,6,1,4,43,96,3,0,3,0
2018/4/19,4,1,2,3,1,1,5,9,55,1,7,10,4,47,121,3,0,2,1
2018/4/20,7,1,1,1,1,1,4,3,39,1,12,12,19,55,133,3,0,2,3
2018/4/21,7,1,1,1,1,1,5,3,31,2,4,0,5,45,104,3,0,3,0
2018/4/22,3,1,2,1,2,2,4,3,43,1,10,0,4,3,4,3,1,2,4
2018/4/23,4,1,1,1,1,1,5,3,38,1,14,20,4,50,137,3,0,2,1
2018/4/24,8,2,2,1,1,1,4,2,36,0,14,12,24,57,139,3,0,3,1
2018/4/25,5,1,1,2,1,1,4,3,36,4,19,14,13,56,160,3,0,2,1
2018/4/26,6,1,2,1,1,2,5,5,34,7,15,7,55,54,151,3,1,2,0
2018/4/27,8,1,1,1,2,1,4,3,35,5,16,16,5,55,141,3,0,2,10
2018/4/28,3,1,1,1,1,1,8,3,33,1,4,17,33,41,99,3,1,3,0
2018/4/29,3,1,2,1,1,1,4,12,32,2,8,0,4,3,3,3,0,2,0
2018/4/30,3,1,1,1,1,1,4,4,30,1,4,0,30,43,134,13,1,2,2
2018/5/1,10,2,1,6,3,4,6,4,45,2,22,14,39,58,187,3,1,2,11
2018/5/2,10,1,3,1,1,1,8,15,38,11,24,13,37,53,180,3,0,3,16
2018/5/3,3,1,1,1,0,1,4,3,38,12,4,9,40,51,152,16,1,2,2
2018/5/4,4,1,2,1,1,1,4,3,36,2,14,0,51,40,141,2,1,2,9
2018/5/5,3,1,1,1,1,1,4,4,37,1,4,7,15,39,97,7,1,3,0
2018/5/6,3,1,1,0,1,1,24,7,35,2,5,0,4,2,3,3,0,2,0
2018/5/7,6,1,2,1,1,1,7,9,44,3,16,8,32,42,127,3,0,2,9
2018/5/8,4,2,1,1,1,1,19,3,42,1,3,8,11,35,109,3,0,2,3
2018/5/9,3,1,2,2,1,1,4,3,68,0,4,3,12,34,87,2,0,3,1
2018/5/10,4,1,1,1,1,1,16,14,67,1,4,3,5,35,81,3,0,2,0
2018/5/11,5,1,2,1,1,2,5,4,33,2,8,7,4,40,104,3,0,2,0
