ポイント番号,ポイント名称,単位
312000001,52C2 VCS ｺﾝﾃﾞﾝｻｰ,***
312000002,52C3 VCS ｺﾝﾃﾞﾝｻｰ,***
312000003,VCB 電灯,***
312000004,52F2 VCB 動力,***
312000005,52R VCB,***
312000006,52C VCB ｺﾝﾃﾞﾝｻｰ,***
312000007,DT-MG1 DT-MG 商用,***
312000008,DT-MG1 DT-MG 発電機,***
312000009,DT-MG2 DT-MG 商用,***
312000010,DT-MG2 DT-MG 発電機,***
312000011,DT-MG3 DT-MG 商用,***
312000012,DT-MG3 DT-MG 発電機,***
312000013,発電機電圧確立,***
312000014,設備機械室 給気ﾌｧﾝ,***
312000015,設備機械室 排気ﾌｧﾝ,***
312000016,便所･湯沸 排気ﾌｧﾝ,***
312000017,湯沸室 排気ﾌｧﾝ,***
312000018,2F～4F 喫煙ｺｰﾅｰ 排気ﾌｧﾝ,***
312000019,PBX機械室空調機,***
312000020,事務室2･ﾋﾞﾙﾏﾙﾁ屋内機1,***
312000021,ﾏｲｸﾛﾊﾟｯｸｽ室用室内機,***
312000022,事務室2･ﾋﾞﾙﾏﾙﾁ屋内機2,***
312000023,事務室2･ﾋﾞﾙﾏﾙﾁ屋内機3,***
312000024,事務室2･ﾋﾞﾙﾏﾙﾁ屋内機4,***
312000025,事務室2･ﾋﾞﾙﾏﾙﾁ屋内機5,***
312000026,事務室2･ﾋﾞﾙﾏﾙﾁ屋内機6,***
312000027,事務室2･ﾋﾞﾙﾏﾙﾁ屋内機7,***
312000028,事務室1･ﾋﾞﾙﾏﾙﾁ屋内機1,***
312000029,事務室1･ﾋﾞﾙﾏﾙﾁ屋内機2,***
312000030,事務室1･ﾋﾞﾙﾏﾙﾁ屋内機3,***
312000031,事務室1･ﾋﾞﾙﾏﾙﾁ屋内機4,***
312000032,事務室1･ﾋﾞﾙﾏﾙﾁ屋内機5,***
312000033,事務室2･ﾋﾞﾙﾏﾙﾁ屋内機8,***
312000034,PAC1-2 全熱交換器,***
312000035,PAC1-1 会議室系統 PAC1,***
312000036,PAC1-1 会議室系統 PAC2,***
312000037,外気処理ﾕﾆｯﾄ,***
312000038,夏/冬 1F ｴﾝﾄﾗﾝｽ季節切換,***
312000039,中間 1F ｴﾝﾄﾗﾝｽ季節切換,***
312000040,夏/冬 1F 事務1季節切換,***
312000041,中間 1F 事務1季節切換,***
312000042,夏/冬 1F 事務2季節切換,***
312000043,中間 1F 事務2季節切換,***
312000044,ACI-A-3 ｴﾝﾄﾗﾝｽﾎｰﾙ屋内機,***
312000045,ｺﾝﾋﾟｭｰﾀ機械室用室内機1,***
312000046,ｺﾝﾋﾟｭｰﾀ機械室用室内機2,***
312000047,ｺﾝﾋﾟｭｰﾀ機械室用室内機3,***
312000048,ｺﾝﾋﾟｭｰﾀ機械室用室内機4,***
312000049,PAC-1 2F ｱﾒﾆﾃｨ用屋内機1,***
312000050,PAC-2 2F ｱﾒﾆﾃｨ用屋内機2,***
312000051,夏/冬 2F 事務1季節切換,***
312000052,中間 2F 事務1季節切換,***
312000053,夏/冬 2F 事務2季節切換,***
312000054,中間 2F 事務2季節切換,***
312000055,PAC-2-1 喫煙室系統　PAC,***
312000056,3F ｱﾒﾆﾃｨ用屋内機1,***
312000057,3F ｱﾒﾆﾃｨ用屋内機2,***
312000058,3F OA室用室内機,***
312000059,夏/冬 3F 事務1季節切換,***
312000060,中間 3F 事務1季節切換,***
312000061,夏/冬 3F 事務2季節切換,***
312000062,中間 3F 事務2季節切換,***
312000063,PAC-2-2 喫煙室系統　PAC,***
312000064,4F ｱﾒﾆﾃｨ用屋内機1,***
312000065,4F ｱﾒﾆﾃｨ用屋内機2,***
312000066,4F PAC,***
312000067,PAC-2-3 喫煙室系統　PAC,***
312000068,夏/冬 4F 事務1季節切換,***
312000069,中間 4F 事務1季節切換,***
312000070,夏/冬 4F 事務2季節切換,***
312000071,中間 4F 事務2季節切換,***
312000072,5F ｱﾒﾆﾃｨ用室内機,***
312000073,夏/冬 5F 事務室季節切換,***
312000074,中間 5F 事務室季節切換,***
312000075,6F ｱﾒﾆﾃｨ用室内機1,***
312000076,6F ｱﾒﾆﾃｨ用室内機2,***
312000077,夏/冬 6F 事務室季節切換,***
312000078,中間 6F 事務室季節切換,***
312000079,2F 南東 全熱交 発停,***
312000080,2F 南東 全熱交 状態,***
312000081,2F 南東 加湿器 発停,***
312000082,2F 南東 加湿器 状態故障,***
312000083,2F 南西 全熱交 発停,***
312000084,2F 南西 全熱交 状態,***
312000085,2F 南西 加湿器 発停,***
312000086,2F 南西 加湿器 状態故障,***
312000087,2F 北東 全熱交 発停,***
312000088,2F 北東 全熱交 状態,***
312000089,2F 北東 加湿器 発停,***
312000090,2F 北東 加湿器 状態故障,***
312000091,2F 北西 全熱交 発停,***
312000092,2F 北西 全熱交 状態,***
312000093,2F 北西 加湿器 発停,***
312000094,2F 北西 加湿器 状態故障,***
312000095,3F 南東 全熱交 発停,***
312000096,3F 南東 全熱交 状態,***
312000097,3F 南東 加湿器 発停,***
312000098,3F 南東 加湿器 状態故障,***
312000099,3F 南西 全熱交 発停,***
312000100,3F 南西 全熱交 状態,***
312000101,3F 南西 加湿器 発停,***
312000102,3F 南西 加湿器 状態故障,***
312000103,3F 北東 全熱交 発停,***
312000104,3F 北東 全熱交 状態,***
312000105,3F 北東 加湿器 発停,***
312000106,3F 北東 加湿器 状態故障,***
312000107,3F 北西 全熱交 発停,***
312000108,3F 北西 全熱交 状態,***
312000109,3F 北西 加湿器 発停,***
312000110,3F 北西 加湿器 状態故障,***
312000111,4F 南東 全熱交 発停,***
312000112,4F 南東 全熱交 状態,***
312000113,4F 南東 加湿器 発停,***
312000114,4F 南東 加湿器 状態故障,***
312000115,4F 南西 全熱交 発停,***
312000116,4F 南西 全熱交 状態,***
312000117,4F 南西 加湿器 発停,***
312000118,4F 南西 加湿器 状態故障,***
312000119,4F 北東 全熱交 発停,***
312000120,4F 北東 全熱交 状態,***
312000121,4F 北東 加湿器 発停,***
312000122,4F 北東 加湿器 状態故障,***
312000123,4F 北西 全熱交 発停,***
312000124,4F 北西 全熱交 状態,***
312000125,4F 北西 加湿器 発停,***
312000126,4F 北西 加湿器 状態故障,***
312000127,5F 南東 全熱交 発停,***
312000128,5F 南東 全熱交 状態,***
312000129,5F 南東 加湿器 発停,***
312000130,5F 南東 加湿器 状態故障,***
312000131,5F 南西 全熱交 発停,***
312000132,5F 南西 全熱交 状態,***
312000133,5F 南西 加湿器 発停,***
312000134,5F 南西 加湿器 状態故障,***
312000135,6F 南東 全熱交 発停,***
312000136,6F 南東 全熱交 状態,***
312000137,6F 南東 加湿器 発停,***
312000138,6F 南東 加湿器 状態故障,***
312000139,6F 南西 全熱交 発停,***
312000140,6F 南西 全熱交 状態,***
312000141,6F 南西 加湿器 発停,***
312000142,6F 南西 加湿器 状態故障,***
312000143,EHP-1-1-1 研修室2,***
312000144,EHP-1-1-2 研修室2,***
312000145,EHP-1-1-3 研修室1,***
312000146,EHP-1-1-4 研修室1,***
312000147,EHP-1-1-5 研修室1,***
312000148,EHP-1-1-5 冷暖切替,***
312000149,EHP-1-2-1 北面1F北154会,***
312000150,EHP-1-2-2 北面1F北162会,***
312000151,EHP-1-2-3 北面1F北156会,***
312000152,EHP-1-2-4 北面1F161,***
312000153,EHP-1-2-5 北面1F北159歴,***
312000154,EHP-1-2-5 冷暖切替,***
312000155,EHP-1-2-6 北面1F北160,***
312000156,EHP-1-3-1 1F北151ﾎｰﾙ,***
312000157,EHP-1-3-1 冷暖切替,***
312000158,EHP-1-3-2 1F北151ﾎｰﾙ,***
312000159,EHP-1-3-3 1F北151ﾎｰﾙ,***
312000160,EHP-1-3-4 1F北152応接,***
312000161,EHP-1-4-1 1F北164ﾊﾞｯｸｽ,***
312000162,EHPK-1-1 1F管理室,***
312000163,EHPK-1-1 冷暖切替,***
312000164,EHPK-1-2 1F清掃人控え室,***
312000165,EHPK-1-3 1Fﾎｰﾙ,***
312000166,EHPK-1-4 2F中央ｱﾒﾆﾃｨ,***
312000167,EHPK-2-1 2F東廊下,***
312000168,EHPK-2-1 冷暖切替,***
312000169,EHPK-1-5 3F中央ｱﾒﾆﾃｨ,***
312000170,EHPK-2-2 3F東廊下,***
312000171,EHPK-1-6 4F中央ｱﾒﾆﾃｨ,***
312000172,EHPK-2-3 4F東廊下,***
312000173,EHPK-3-1 5階 共用部廊下,***
312000174,EHPK-3-2 6階 共用部廊下,***
312000175,EHPK-3-2 冷暖切替,***
312000176,EHPK-3-3 6階 共用部廊下,***
312000177,GHEX-1-1 1F設備機械室,***
312000178,GHEX-1-1 冷暖切替,***
312000179,GHEX-1-2 1Fﾋﾞﾙ管理室,***
312000180,GHEX-1-3 1F東廊下,***
312000181,GHEX-2-1 2F西廊下,***
312000182,GHEX-2-1 冷暖切替,***
312000183,GHEX-2-2 2F東ｱﾒﾆﾃｨ,***
312000184,GHEX-3-1 3F西廊下,***
312000185,GHEX-3-1 冷暖切替,***
312000186,GHEX3-2 3F東ｱﾒﾆﾃｨ,***
312000187,GHEX4-1 4F西廊下,***
312000188,GHEX4-1 冷暖切替,***
312000189,GHEX4-2 4F東ｱﾒﾆﾃｨ,***
312000190,GHEX-5-1 5階 共用部廊下,***
312000191,GHEX-5-2 6階 共用部廊下,***
312000192,GHEX-5-2 冷暖切替,***
312000193,EHP2-2-1.2 2階南東 貸室,***
312000194,EHP2-2-1.2 冷暖切替,***
312000195,EHP2-2-3.4 2階南東 貸室,***
312000196,EHP2-2-5.6 2階南東 貸室,***
312000197,EHP2-2-7 2階南東 貸室2,***
312000198,EHP2-2-8.9 2階南東 貸室,***
312000199,EHP2-3-1.2 2階北西 貸室,***
312000200,EHP2-3-1.2 冷暖切替,***
312000201,EHP2-3-3.4 2階北西 貸室,***
312000202,EHP2-5-1.2 2階北西 貸室,***
312000203,EHP2-5-1.2 冷暖切替,***
312000204,EHP2-5-3 2階北西 貸室1,***
312000205,EHP2-4-1.2 2階北東 貸室,***
312000206,EHP2-4-1.2 冷暖切替,***
312000207,EHP2-4-3.4 2階北東 貸室,***
312000208,EHP2-4-5.6 2階北東 貸室,***
312000209,EHP2-4-7.8 2階北東 貸室,***
312000210,EHP2-1-1.2 2階南西 貸室,***
312000211,EHP2-1-1.2 冷暖切替,***
312000212,EHP2-1-3.4 2階南西 貸室,***
312000213,EHP2-1-5.6 2階南西 貸室,***
312000214,EHP2-6-1.2 2階南西 貸室,***
312000215,EHP2-6-1.2 冷暖切替,***
312000216,EHP3-2-1.2 3階南東 貸室,***
312000217,EHP3-3-1.2 冷暖切替,***
312000218,EHP3-2-3.4 3階南東 貸室,***
312000219,EHP3-2-5.6 3階南東 貸室,***
312000220,EHP3-2-7 3階北東 貸室2,***
312000221,EHP3-2-8.9 3階南東 貸室,***
312000222,EHP3-3-1.2 3階北西 貸室,***
312000223,EHP3-3-1.2 冷暖切替,***
312000224,EHP3-3-3.4 3階北西 貸室,***
312000225,EHP3-5-1.2 3階北西 貸室,***
312000226,EHP3-5-1.2 冷暖切替,***
312000227,EHP3-5-3 3階北西 貸室1,***
312000228,EHP3-4-1.2 3階北東 貸室,***
312000229,EHP3-4-1.2 冷暖切替,***
312000230,EHP3-4-3.4 3階北東 貸室,***
312000231,EHP3-4-5.6 3階北東 貸室,***
312000232,EHP3-4-7.8 3階北東 貸室,***
312000233,EHP3-1-1.2 3階南西 貸室,***
312000234,EHP3-1-1.2 冷暖切替,***
312000235,EHP3-1-3.4 3階南西 貸室,***
312000236,EHP3-1-5.6 3階南西 貸室,***
312000237,EHP3-6-1.2 3階南西 貸室,***
312000238,EHP3-6-1.2 冷暖切替,***
312000239,EHP4-2-1.2 4F南東 貸室2,***
312000240,EHP4-2-1.2 冷暖切替,***
312000241,EHP4-2-3.4 4F南東 貸室2,***
312000242,EHP4-2-5.6 4F南東 貸室2,***
312000243,EHP4-2-7 4F南東 貸室2,***
312000244,EHP4-2-8.9 4F南東 貸室2,***
312000245,EHP4-3-1.2 4F北西　貸,***
312000246,EHP4-3-1.2 冷暖切替,***
312000247,EHP4-3-3.4 4F北西　貸,***
312000248,EHP4-5-1.2 4Fﾍﾟﾘ北西,***
312000249,EHP4-5-1.2 冷暖切替,***
312000250,EHP4-5-3 4Fﾍﾟﾘ北西　貸,***
312000251,EHP4-4-1.2 4F北東 貸室1,***
312000252,EHP4-4-1.2 冷暖切替,***
312000253,EHP4-4-3.4 4F北東 貸室1,***
312000254,EHP4-4-5.6 4F北東 貸室1,***
312000255,EHP4-4-7.8 4F北東 貸室1,***
312000256,EHP4-1-1.2 4F南西 貸室2,***
312000257,EHP4-1-1.2 冷暖切替,***
312000258,EHP4-1-3.4 4F南西 貸室2,***
312000259,EHP4-1-5.6 4F南西 貸室2,***
312000260,EHP4-6-1.2 4Fﾍﾟﾘ南西,***
312000261,EHP4-6-1.2 冷暖切替,***
312000262,EHP5-2-1.2 5階南東 貸室,***
312000263,EHP5-2-1.2 冷暖切替,***
312000264,EHP5-2-3.4 5階南東 貸室,***
312000265,EHP5-2-5.6 5階南東 貸室,***
312000266,EHP5-2-7 5階南東 貸室,***
312000267,EHP5-2-8 5階南東 貸室,***
312000268,EHP5-1-1.2 5階 ﾄｰｸﾙｰﾑ,***
312000269,EHP5-1-1.2 冷暖切替,***
312000270,EHP5-1-3.4 5階 ﾄｰｸﾙｰﾑ,***
312000271,EHP5-1-5 5階 ﾄｰｸﾙｰﾑ,***
312000272,EHP5-1-6 5階 ﾄｰｸﾙｰﾑ,***
312000273,EHP5-1-7 5階 ﾄｰｸﾙｰﾑ,***
312000274,EHP5-3-1 5階 女子休憩室,***
312000275,EHP5-3-1 冷暖切替,***
312000276,EHP5-3-2 5階 男子休憩室,***
312000277,EHP6-2-1 6階 専有部廊下,***
312000278,EHP6-2-1 冷暖切替,***
312000279,EHP6-2-2 6階 専有部廊下,***
312000280,EHP6-2-3 6階 専有部廊下,***
312000281,EHP6-2-4 6階 656室,***
312000282,EHP6-2-5 6階 655室,***
312000283,EHP6-2-6 6階 専有部廊下,***
312000284,EHP6-2-7 6階 654室,***
312000285,EHP6-2-8 6階 651室,***
312000286,EHP6-2-9 6階 651室,***
312000287,EHP6-2-10 6階 653室,***
312000288,EHP6-1-1 6階 VIP打合室,***
312000289,EHP6-1-1 冷暖切替,***
312000290,EHP6-1-2 6階 VIP打合室,***
312000291,EHP6-1-3 6階 659室,***
312000292,EHP6-1-4 6階 658室,***
312000293,EHP6-1-5 6階 専有部廊下,***
312000294,EHP6-1-6 6階 658室,***
312000295,EHP6-1-7 6階 応接室,***
312000296,EHP6-1-8 6階 657室,***
312000297,EHP6-3-1 6階 660室,***
312000298,EHP6-3-1 冷暖切替,***
312000299,EHP6-3-2 6階 660室,***
312000300,1F 外灯 1,***
312000301,1F 外灯 2,***
312000302,1F 風除室,***
312000303,1F ﾎﾟｰﾁ 1,***
312000304,1F ﾎﾟｰﾁ 2,***
312000305,2F～6F ﾊﾞﾙｺﾆｰ,***
312000306,1F 共用部 1-1,***
312000307,1F 共用部 1-2,***
312000308,1F 共用部 2,***
312000309,1F ﾃﾚﾎﾝｺｰﾅｰ,***
312000310,予備,***
312000311,1F 貸室 1-1,***
312000312,1F 貸室 1-2,***
312000313,1F 貸室 2-1,***
312000314,1F 貸室 2-2,***
312000315,2F 共用部 1-1,***
312000316,2F 共用部 1-2,***
312000317,2F 共用部 2-1,***
312000318,2F 共用部 2-2,***
312000319,2F 貸室 1-1,***
312000320,2F 貸室 1-2,***
312000321,2F 貸室 2-1,***
312000322,2F 貸室 2-2,***
312000323,3F 共用部 1-1,***
312000324,3F 共用部 1-2,***
312000325,3F 共用部 2-1,***
312000326,3F 共用部 2-2,***
312000327,3F 貸室 1-1,***
312000328,3F 貸室 1-2,***
312000329,3F 貸室 2-1,***
312000330,3F 貸室 2-2,***
312000331,4F 共用部 1-1,***
312000332,4F 共用部 1-2,***
312000333,4F 共用部 2-1,***
312000334,4F 共用部 2-2,***
312000335,4F 貸室 1-1,***
312000336,4F 貸室 1-2,***
312000337,4F 貸室 2-1,***
312000338,4F 貸室 2-2,***
312000339,5F 共用部 1,***
312000340,5F 共用部 2,***
312000341,5F 貸室 2-1,***
312000342,5F 貸室 2-2,***
312000343,6F 共用部 1,***
312000344,6F 共用部 2,***
312000345,6F 貸室2-1,***
312000346,6F 貸室2-2,***
312000347,屋上照明-1,***
312000348,屋上照明-2,***
312000349,発停-1,***
312000350,発停-2,***
312000351,発停-3,***
312000352,発停-4,***
312000353,発停-5,***
312000354,発停-6,***
312000355,発停-7,***
312000356,1F ｺﾝﾋﾟｭｰﾀｰ室 照明連動,***
312000357,1F 予備,***
312000358,2F 事務室S 照明連動,***
312000359,2F 事務室N 照明連動,***
312000360,3F 事務室S 照明連動,***
312000361,3F 事務室N 照明連動,***
312000362,4F 事務室S1 照明連動,***
312000363,4F 事務室S2 照明連動,***
312000364,4F 事務室N 照明連動,***
312000365,5F 事務室S501 照明連動,***
312000366,5F 事務室S502_S503 照明,***
312000367,P3 消火ﾎﾟﾝﾌﾟ,***
312000368,ﾊﾛﾝ消火,***
312000369,ｲﾝﾀｰﾎﾝ RS-1,***
312000370,ｲﾝﾀｰﾎﾝ RS-2,***
312000371,ｲﾝﾀｰﾎﾝ RS-4,***
312000372,ｲﾝﾀｰﾎﾝ RS-6,***
312000373,季節切換1,***
312000374,季節切換2,***
312000375,一括中間期指令,***
312000376,一括夏/冬期切換指令,***
312000377,発停ﾀﾞﾐｰ予備3,***
312000378,発停ﾀﾞﾐｰ予備4,***
312000379,発停ﾀﾞﾐｰ予備5,***
312000380,火災移報,***
312000381,予備,***
312000382,空調移報,***
312000383,水位移報,***
312000384,ﾊﾞﾙｺﾆｰ移報,***
312000385,窓ｶﾞﾗｽ移報,***
312000386,空調SCH用ダミー,***
312000387,バルコニーSCH用ダミー,***
312000388,窓ガラスSCH用ダミー,***
312000389,移報予備4,***
312000390,移報予備5,***
312000391,1_空調移報1用ﾀﾞﾐｰ,***
312000392,1_空調移報2用ﾀﾞﾐｰ,***
312000393,1_空調移報3用ﾀﾞﾐｰ,***
312000394,1_空調移報4用ﾀﾞﾐｰ,***
312000395,1_空調移報5用ﾀﾞﾐｰ,***
312000396,1_空調移報6用ﾀﾞﾐｰ,***
312000397,1_空調移報7用ﾀﾞﾐｰ,***
312000398,1_空調移報8用ﾀﾞﾐｰ,***
312000399,1_空調移報9用ﾀﾞﾐｰ,***
312000400,1_空調移報10用ﾀﾞﾐｰ,***
312000401,1_空調移報11用ﾀﾞﾐｰ,***
312000402,1_ｾｷｭﾘﾃｨ移報ｰ1用ﾀﾞﾐｰ,***
312000403,1_ﾊﾞﾙｺﾆｰ移報1用ﾀﾞﾐｰ,***
312000404,1_ﾊﾞﾙｺﾆｰ移報2用ﾀﾞﾐｰ,***
312000405,1_ﾊﾞﾙｺﾆｰ移報3用ﾀﾞﾐｰ,***
312000406,1_ﾊﾞﾙｺﾆｰ移報4用ﾀﾞﾐｰ,***
312000407,1_水位移報用ﾀﾞﾐｰ,***
312000408,1_窓ｶﾞﾗｽ移報用ﾀﾞﾐｰ,***
312000409,1_空調移報用SCH,***
312000410,1_窓ｶﾞﾗｽ移報用SCH,***
312000411,1_ﾊﾞﾙｺﾆｰ移報用SCH,***
312000412,1_空調警報ﾘｾｯﾄ,***
312000413,1_空調警報ﾘｾｯﾄ解除,***
312000414,1_ﾊﾞﾙｺﾆｰ警報ﾘｾｯﾄ,***
312000415,1_ﾊﾞﾙｺﾆｰ警報ﾘｾｯﾄ解除,***
312000416,1_水位警報ﾘｾｯﾄ,***
312000417,1_水位警報ﾘｾｯﾄ解除,***
312000418,1_窓ｶﾞﾗｽ警報ﾘｾｯﾄ,***
312000419,1_窓ｶﾞﾗｽ警報ﾘｾｯﾄ解除,***
312000420,1_水位警報ダミー,***
312000421,1_予備,***
312000422,1_予備,***
312000423,1_予備,***
312000424,1_空調移報12用ﾀﾞﾐｰ,***
312000425,1_空調移報13用ﾀﾞﾐｰ,***
312000426,1_UIC2→UIC1空調移報用,***
312000427,1_UIC1→ACU1防犯移報用,***
312000428,1_強制一括リセット,***
312000429,1_強制一括リセット解除,***
312000430,1_予備,***
312000431,1_予備,***
312000432,1_予備,***
312000433,1_予備,***
312000434,1_予備,***
312000435,1_予備,***
312000436,1_予備,***
312000437,1_予備,***
312000438,1_予備,***
312000439,1_予備,***
312000440,1_予備,***
312000441,1_予備,***
312000442,1_予備,***
312000443,1_予備,***
312000444,1_予備,***
312000445,1_予備,***
312000446,1_予備,***
312000447,2_空調移報1用ﾀﾞﾐｰ,***
312000448,2_空調移報2用ﾀﾞﾐｰ,***
312000449,2_空調移報3用ﾀﾞﾐｰ,***
312000450,2_空調移報4用ﾀﾞﾐｰ,***
312000451,2_空調移報5用ﾀﾞﾐｰ,***
312000452,2_空調移報6用ﾀﾞﾐｰ,***
312000453,2_空調移報7用ﾀﾞﾐｰ,***
312000454,2_空調移報8用ﾀﾞﾐｰ,***
312000455,2_空調移報9用ﾀﾞﾐｰ,***
312000456,2_空調移報10用ﾀﾞﾐｰ,***
312000457,2_空調移報11用ﾀﾞﾐｰ,***
312000458,2_空調移報12用ﾀﾞﾐｰ,***
312000459,2_空調移報13用ﾀﾞﾐｰ,***
312000460,2_空調移報14用ﾀﾞﾐｰ,***
312000461,2_空調移報15用ﾀﾞﾐｰ,***
312000462,2_空調移報16用ﾀﾞﾐｰ,***
312000463,2_空調移報17用ﾀﾞﾐｰ,***
312000464,2_空調移報18用ﾀﾞﾐｰ,***
312000465,2_空調移報19用ﾀﾞﾐｰ,***
312000466,2_UIC2→UIC1空調移報用,***
312000467,2_空調移報20用ﾀﾞﾐｰ,***
312000468,2_空調移報21用ﾀﾞﾐｰ,***
312000469,2_空調移報22用ﾀﾞﾐｰ,***
312000470,電力デマンド_レベル1,***
312000471,電力デマンド_レベル2,***
312000472,電力デマンド_レベル3,***
312000473,電力デマンド_レベル4,***
312000474,2_水位警報2,***
312000475,お試しﾀﾞﾐｰ,***
312000476,3F 事務室2扉監視4,***
312000477,3F 事務室1扉監視1,***
312000478,3F 事務室1扉監視2,***
312000479,3F 事務室1扉監視3,***
312000480,3F 事務室1扉監視4,***
312000481,3F 事務室2扉監視1,***
312000482,3F 事務室1扉監視5,***
312000483,3F 事務室2扉監視2,***
312000484,3F 事務室2扉監視3,***
312000485,4F 事務室1扉監視1,***
312000486,4F 事務室2扉監視4,***
312000487,4F 事務室2扉監視3,***
312000488,4F 事務室2扉監視2,***
312000489,4F 事務室2扉監視1,***
312000490,4F 事務室1扉監視4,***
312000491,4F 事務室1扉監視2,***
312000492,4F 事務室1扉監視5,***
312000493,4F 事務室1扉監視3,***
312000494,5F 事務室1扉監視,***
